forma	categoria	small	base	consens	model_localitzador	context_small	context_base	prob_min_segment_small	prob_mean_segment_small	prob_min_segment_base	prob_mean_segment_base	clip	inici_ms	final_ms	estat
a nivell	discurs	0	0	no											ASR textual; atribució i audició pendents
a veure	discurs	5	4	sí	small	No té res a veure, no? Aquella amb aquesta?	No té res a veure, no? Aquella amb aquesta?	0.7765	0.9145	0.2142	0.7641	lead-rtva-022__02__a-veure.wav	156760	159040	ASR textual; atribució i audició pendents
aleshores	discurs	1	2	sí	small	Aleshores, quan mirava el conjunt dels consellers que hi havia,	Aleshores, escoltant els consells de la bandmosa Carbassa,	0.1618	0.7463	0.0556	0.5702	lead-rtva-022__03__aleshores.wav	2092040	2097880	ASR textual; atribució i audició pendents
aviam	discurs	0	0	no											ASR textual; atribució i audició pendents
bueno	discurs	9	12	sí	small	Sí, bueno, vol dir això, vol dir que...	Bueno, escolti, als que...	0.3090	0.7514	0.1260	0.7330	lead-rtva-022__05__bueno.wav	662320	665440	ASR textual; atribució i audició pendents
bé	discurs	15	21	sí	small	-Està molt bé. -És la clàssica, això que es feia.	aquesta andora, comparant-ho amb el que jo veia quan estava bé	0.0819	0.7474	0.1954	0.6659	lead-rtva-022__06__b.wav	350840	353080	ASR textual; atribució i audició pendents
clar	discurs	7	9	sí	small	Clar, no li va recriminar tanta franquesa.	Clar, que t'han fet la meva primera formació a l'escola primera,	0.6355	0.8775	0.0628	0.5748	lead-rtva-022__07__clar.wav	915920	918840	ASR textual; atribució i audició pendents
de fet	discurs	1	3	sí	small	que, de fet, les faig a tots els nostres convidats i convidades.	De fet, vostè va començar a ser d'ensenyant ja com a ensenyant,	0.5115	0.9183	0.2032	0.7366	lead-rtva-022__08__de-fet.wav	3162960	3167320	ASR textual; atribució i audició pendents
diguem	discurs	1	2	sí	small	Diguem-ne que hi vei participar,	Diguem-li, amb el carrer de puntit,	0.1783	0.6007	0.1307	0.4903	lead-rtva-022__09__diguem.wav	2812920	2815640	ASR textual; atribució i audició pendents
doncs	discurs	1	2	sí	small	Doncs parlarem d'una cosa que ha fet,	Doncs home, escriure unes memories ara i ja no considera una vestiesa.	0.5323	0.8611	0.0429	0.6723	lead-rtva-022__10__doncs.wav	1546200	1549400	ASR textual; atribució i audició pendents
evidentment	discurs	1	2	sí	small	Li puc dir, o que diuen alguns, evidentment, eh?	perquè diuen algunes, evidentment, eh?	0.2229	0.7952	0.0985	0.6921	lead-rtva-022__11__evidentment.wav	754840	758120	ASR textual; atribució i audició pendents
llavors	discurs	9	10	sí	small	En camp hi havia llavors dos sistemes d'ensenyament,	El camp hi havia llavors dos sistemes d'ensenyament	0.5169	0.8743	0.2751	0.8388	lead-rtva-022__12__llavors.wav	190920	195400	ASR textual; atribució i audició pendents
no?	discurs	23	20	sí	small	No té res a veure, no? Aquella amb aquesta?	No té res a veure, no? Aquella amb aquesta?	0.7765	0.9145	0.2142	0.7641	lead-rtva-022__13__no.wav	156760	159040	ASR textual; atribució i audició pendents
o sigui	discurs	3	2	sí	small	O sigui, no has cridut unes memòries per quedar bé?	O sigui, no has criat unes memòries per cada bé?	0.4370	0.8696	0.4061	0.7802	lead-rtva-022__14__o-sigui.wav	1073920	1076160	ASR textual; atribució i audició pendents
per tant	discurs	4	5	sí	small	Té més de 90 anys i, per tant, escolti,	Temés de 90 anys i, per tant, escolti,	0.4976	0.8753	0.2300	0.7809	lead-rtva-022__15__per-tant.wav	70280	73040	ASR textual; atribució i audició pendents
perquè	discurs	28	20	sí	small	perquè era una família molt antiga,	de l'esclatza, perquè jo que es feia.	0.5994	0.8758	0.0515	0.6770	lead-rtva-022__16__perqu.wav	996960	999240	ASR textual; atribució i audició pendents
vull dir	discurs	0	0	no											ASR textual; atribució i audició pendents
és a dir	discurs	2	2	sí	small	i flexiblem d'altres, és a dir, ho interpreto així.	És a dir que se'n tren, i com se fa,	0.1383	0.7177	0.1677	0.5359	lead-rtva-022__18__s-a-dir.wav	669800	672800	ASR textual; atribució i audició pendents
Canillo	territorial	0	0	no											ASR textual; atribució i audició pendents
Escaldes	territorial	0	0	no											ASR textual; atribució i audició pendents
