forma	categoria	small	base	consens	model_localitzador	context_small	context_base	prob_min_segment_small	prob_mean_segment_small	prob_min_segment_base	prob_mean_segment_base	clip	inici_ms	final_ms	estat
a nivell	discurs	0	0	no											ASR textual; atribució i audició pendents
a veure	discurs	3	2	sí	small	A veure, ho leo, l'heo, l'heo.	-Vem en suport, senyars, i es plau. A veure si el veiem per aquí, aquí, aquí, aquí, aquí, el preneuabilitat. Si, si, és nota, Albert, és nota, paper, oi? És nota, paper del buen.	0.1709	0.6751	0.3057	0.9294	lead-yt-051-albert-vilaro__02__a-veure.wav	272240	273360	ASR textual; atribució i audició pendents
aleshores	discurs	0	0	no											ASR textual; atribució i audició pendents
aviam	discurs	2	1	sí	small	Pusem la sintonia i intentarem posar-li lletra, aviam.	Potser amb la sintonia intentament posar la lletra, aviam?	0.2414	0.8231	0.2598	0.7803	lead-yt-051-albert-vilaro__04__aviam.wav	49920	52480	ASR textual; atribució i audició pendents
bueno	discurs	3	3	sí	small	Comença la vi... Bueno, sí, la podem posar, eh?	Comença la vi, bueno, sí, la podem posar, eh?	0.1492	0.7290	0.2510	0.6837	lead-yt-051-albert-vilaro__05__bueno.wav	54720	57240	ASR textual; atribució i audició pendents
bé	discurs	12	17	sí	small	I comença... Bé, no, no, hem de repassar, hem de repassar, hem de repassar.	Molt bé, bona nit, molt content, una mica de sang,	0.1321	0.8082	0.2114	0.7194	lead-yt-051-albert-vilaro__06__b.wav	71320	75240	ASR textual; atribució i audició pendents
clar	discurs	11	12	sí	small	Clar, quan poses molta càrrega poblacional en un espai fràgil, el resultat no sol si és bo.	Clar, quan poses molta carrega poblacional amb un espai fragil,	0.0836	0.8294	0.2669	0.7528	lead-yt-051-albert-vilaro__07__clar.wav	504160	514080	ASR textual; atribució i audició pendents
de fet	discurs	1	0	no	small	perquè de fet el que em demiraves cap endavant,		0.1940	0.6986			lead-yt-051-albert-vilaro__08__de-fet.wav	445080	448080	ASR textual; atribució i audició pendents
diguem	discurs	2	1	sí	small	però clar, el que ens ha arribat als periïnsolars, diguem-ho així,	el que ens ha arribat als perinsolars, diguem-ho així,	0.2356	0.8077	0.2603	0.7746	lead-yt-051-albert-vilaro__09__diguem.wav	520080	524080	ASR textual; atribució i audició pendents
doncs	discurs	4	8	sí	small	doncs hi deu haver 140 fotografies.	l'exempleix de arquitectura pyrinentca, doncs des de la Valdarán fins al Ripollés.	0.4018	0.8617	0.0817	0.6029	lead-yt-051-albert-vilaro__10__doncs.wav	277360	280240	ASR textual; atribució i audició pendents
