forma	categoria	small	base	consens	model_localitzador	context_small	context_base	prob_min_segment_small	prob_mean_segment_small	prob_min_segment_base	prob_mean_segment_base	clip	inici_ms	final_ms	estat
a nivell	discurs	3	3	sí	small	Per un costat ens hem transformat la nostra societat avui en viu a nivell planetari.	la nostra societat viu a nivell planetàries.					lead-rtva-011__01__a-nivell.wav	2846640	2855640	ASR textual; atribució i audició pendents
a veure	discurs	16	6	sí	small	I a veure si d'aquí se'n surt.	A veure si hem d'anar sempre a Barcelona, per a d'Ità,					lead-rtva-011__02__a-veure.wav	1707880	1710000	ASR textual; atribució i audició pendents
aleshores	discurs	0	0	no											ASR textual; atribució i audició pendents
aviam	discurs	0	0	no											ASR textual; atribució i audició pendents
bueno	discurs	3	2	sí	small	No, bueno, la Maria Aurelia.	Bueno, català vaig néixer a Catalunya, vaig néixer.					lead-rtva-011__05__bueno.wav	1592080	1594720	ASR textual; atribució i audició pendents
bé	discurs	18	27	sí	small	Es pot escriure bé sense haver llegit molt abans?	Com es podia sense bé i estat entendre...					lead-rtva-011__06__b.wav	309640	312800	ASR textual; atribució i audició pendents
clar	discurs	6	8	sí	small	Clar, i què llegeix la poesia?	Clar, França no acaba aquí.					lead-rtva-011__07__clar.wav	581960	585240	ASR textual; atribució i audició pendents
de fet	discurs	10	8	sí	small	De fet, és gràcies a l'escola de la República	Però en de fet, sóc en dorrar els meus pares.					lead-rtva-011__08__de-fet.wav	112680	121200	ASR textual; atribució i audició pendents
diguem	discurs	1	2	sí	small	I si em diu que sí, diguem quin? O quins?	i si em diu que sigui, diguem quins, o quins?					lead-rtva-011__09__diguem.wav	2586680	2589280	ASR textual; atribució i audició pendents
doncs	discurs	18	25	sí	small	i el meu pare, que havia nascut també en aquest cas, doncs, a Espanya,	A mi la Franca el penedès, doncs alguna cosa ja.					lead-rtva-011__10__doncs.wav	160240	168720	ASR textual; atribució i audició pendents
evidentment	discurs	1	2	sí	small	i d'editor, evidentment, també, d'anem editors.	home, alguns són molt pocadificants, evidentment, no parlo de...					lead-rtva-011__11__evidentment.wav	1954560	1958680	ASR textual; atribució i audició pendents
llavors	discurs	4	1	sí	small	Vostè i jo anirem amb el llavors de la junta...	amb el que pari llavors.					lead-rtva-011__12__llavors.wav	711960	714400	ASR textual; atribució i audició pendents
