forma	segment	inici_forma_s	final_forma_s	clip	inici_clip_s	final_clip_s	small	base	prioritat	estat
a nivell	135	383.200	386.200	clips/robert-guirao__a-nivell__383.20.wav	382.200	387.200	1	2	A-consens-ASR	pendent d'audició
a veure	21	48.840	51.360	clips/robert-guirao__a-veure__48.84.wav	47.840	52.360	4	6	A-consens-ASR	pendent d'audició
bueno	31	78.840	82.360	clips/robert-guirao__bueno__78.84.wav	77.840	83.360	2	1	A-consens-ASR	pendent d'audició
bé	16	39.600	41.400	clips/robert-guirao__b__39.60.wav	38.600	42.400	4	4	A-consens-ASR	pendent d'audició
de fet	118	324.040	328.040	clips/robert-guirao__de-fet__324.04.wav	323.040	329.040	1	1	A-consens-ASR	pendent d'audició
doncs	2	6.840	8.520	clips/robert-guirao__doncs__6.84.wav	5.840	9.520	5	16	A-consens-ASR	pendent d'audició
evidentment	50	131.920	133.520	clips/robert-guirao__evidentment__131.92.wav	130.920	134.520	3	7	A-consens-ASR	pendent d'audició
no?	40	104.200	106.200	clips/robert-guirao__no__104.20.wav	103.200	107.200	2	5	A-consens-ASR	pendent d'audició
o sigui	47	123.600	126.640	clips/robert-guirao__o-sigui__123.60.wav	122.600	127.640	1	1	A-consens-ASR	pendent d'audició
perquè	27	64.360	68.600	clips/robert-guirao__perqu__64.36.wav	63.360	69.600	8	20	A-consens-ASR	pendent d'audició
és a dir	29	72.720	76.360	clips/robert-guirao__s-a-dir__72.72.wav	71.720	77.360	3	5	A-consens-ASR	pendent d'audició
comú	73	194.080	197.240	clips/robert-guirao__com__194.08.wav	193.080	198.240	1	1	A-consens-ASR	pendent d'audició
diguem	109	301.320	305.320	clips/robert-guirao__diguem__301.32.wav	300.320	306.320	1	0	B-un-model-ASR	pendent d'audició
