forma	categoria	small	base	consens	model_localitzador	context_small	context_base	prob_min_segment_small	prob_mean_segment_small	prob_min_segment_base	prob_mean_segment_base	clip	inici_ms	final_ms	estat
a nivell	discurs	0	0	no											ASR textual; atribució i audició pendents
a veure	discurs	3	2	sí	small	Què has de fer quan el pare comença a veure que el nen...	Que has de fer, quan el pare comença a veure que el nen	0.4657	0.9007	0.4995	0.8587	lead-yt-046__02__a-veure.wav	343680	346360	ASR textual; atribució i audició pendents
aleshores	discurs	0	0	no											ASR textual; atribució i audició pendents
aviam	discurs	0	1	no	base		aviam, una cosa que el nen ja tingui 18 anys i amb 18 anys,			0.1186	0.7553	lead-yt-046__04__aviam.wav	536600	539480	ASR textual; atribució i audició pendents
bueno	discurs	10	9	sí	small	Però, bueno, diríem allò d'accident domèstic, no?	Però bueno, el direm d'allò d'accident doméstic, no?	0.3534	0.7976	0.2105	0.6972	lead-yt-046__05__bueno.wav	32120	35520	ASR textual; atribució i audició pendents
bé	discurs	3	4	sí	small	Hola. Molt bé, bona nit.	Molt bé, bona nit.	0.5105	0.8251	0.6909	0.8859	lead-yt-046__06__b.wav	15840	17840	ASR textual; atribució i audició pendents
clar	discurs	16	10	sí	small	I, clar, deixar-li a una cafèteria, un nen, amb tot això...	I clar, deixar-li una cafeteria un nen amb tot això és un perill,	0.3320	0.7757	0.1759	0.7294	lead-yt-046__07__clar.wav	117960	121440	ASR textual; atribució i audició pendents
de fet	discurs	0	0	no											ASR textual; atribució i audició pendents
diguem	discurs	0	0	no											ASR textual; atribució i audició pendents
doncs	discurs	4	5	sí	small	Doncs pot ser un padrastre tranquil·lament,	i acabant doncs...	0.3285	0.7906	0.1432	0.7209	lead-yt-046__10__doncs.wav	293840	296520	ASR textual; atribució i audició pendents
evidentment	discurs	1	1	sí	small	Sí, però bueno, això evidentment t'obliga com a pare	Sí, però bueno, això evidentment t'obliga com a pare	0.3855	0.8805	0.3298	0.8160	lead-yt-046__11__evidentment.wav	676880	680760	ASR textual; atribució i audició pendents
llavors	discurs	1	0	no	small	Llavors pot haver-hi d'intentar aconseguir informació,		0.2170	0.7752			lead-yt-046__12__llavors.wav	278280	283880	ASR textual; atribució i audició pendents
no?	discurs	6	10	sí	small	Però, bueno, diríem allò d'accident domèstic, no?	Però bueno, el direm d'allò d'accident doméstic, no?	0.3534	0.7976	0.2105	0.6972	lead-yt-046__13__no.wav	32120	35520	ASR textual; atribució i audició pendents
o sigui	discurs	1	1	sí	small	O sigui, diuen, quan un es tanca de seguida la habitació,	O sigui, quan l'unes estan quedes allí d'aquí d'aquí d'aquí,	0.1121	0.6725	0.0539	0.5580	lead-yt-046__14__o-sigui.wav	807960	810880	ASR textual; atribució i audició pendents
per tant	discurs	0	0	no											ASR textual; atribució i audició pendents
perquè	discurs	26	23	sí	small	Hauríem de ser més conscients, jo ja, perquè els meus fills són grans,	Avui hem de ser més conscients, jo ja, perquè els meus fills són grans,	0.4633	0.8700	0.0441	0.7557	lead-yt-046__16__perqu.wav	127960	130840	ASR textual; atribució i audició pendents
vull dir	discurs	0	0	no											ASR textual; atribució i audició pendents
